label,inference_noise,n,clean_mean_test_nse,noisy_mean_test_nse,drift_mean_test_nse,drift_median_test_nse,drift_std_test_nse,drift_ci_low_test_nse,drift_ci_high_test_nse,fraction_positive_test_nse,clean_mean_validation_nse,noisy_mean_validation_nse,drift_mean_validation_nse,drift_median_validation_nse,drift_std_validation_nse,drift_ci_low_validation_nse,drift_ci_high_validation_nse,fraction_positive_validation_nse,clean_mean_test_kge,noisy_mean_test_kge,drift_mean_test_kge,drift_median_test_kge,drift_std_test_kge,drift_ci_low_test_kge,drift_ci_high_test_kge,fraction_positive_test_kge,clean_mean_test_rmse_mm_day,noisy_mean_test_rmse_mm_day,drift_mean_test_rmse_mm_day,drift_median_test_rmse_mm_day,drift_std_test_rmse_mm_day,drift_ci_low_test_rmse_mm_day,drift_ci_high_test_rmse_mm_day,fraction_positive_test_rmse_mm_day,clean_mean_physics_error,noisy_mean_physics_error,drift_mean_physics_error,drift_median_physics_error,drift_std_physics_error,drift_ci_low_physics_error,drift_ci_high_physics_error,fraction_positive_physics_error
learned · mlp · joint baseline,0.0,15,0.5720325604449279,0.5720325604449279,0.0,0.0,0.0,0.0,0.0,0,0.5716176727039639,0.5716176727039639,0.0,0.0,0.0,0.0,0.0,0,0.6357301761670616,0.6357301761670616,0.0,0.0,0.0,0.0,0.0,0,2.0443074550262863,2.0443074550262863,0.0,0.0,0.0,0.0,0.0,0,0.5277944753567377,0.5277944753567377,0.0,0.0,0.0,0.0,0.0,0
learned · mlp · joint baseline,0.1,15,0.5720325604449279,0.5684847916619493,0.003547768782978563,0.0014343151364979434,0.006177595325252326,0.001275795811667404,0.006924607605480459,0.9333333333333333,0.5716176727039639,0.5671530484907693,0.00446462421319469,0.0036790937609396668,0.00821828069299519,0.000245784580843337,0.008364080967348352,0.8,0.6357301761670616,0.6360521146063289,-0.00032193843926731823,-0.0011421693485507145,0.0045361343133830225,-0.0024962761526707193,0.001993448217999433,0.4666666666666667,2.0443074550262863,2.05518634621709,0.47344287203320407,0.233608322321335,0.5008923519140399,0.2484730502039898,0.7252393751431554,0.9333333333333333,0.5277944753567377,0.5323056608438492,1.4152084215778709,0.5586888558525189,1.5301557537172619,0.7102983981468733,2.185117394670531,0.9333333333333333
learned · mlp · joint baseline,0.25,15,0.5720325604449279,0.5498997086825057,0.02213285176242219,0.021666394959151347,0.016952511593531408,0.014985475551735522,0.03102340367189651,1,0.5716176727039639,0.5464091811864362,0.0252084915175277,0.019782456568643303,0.02294483414558547,0.014431213643274345,0.03665116639096176,0.9333333333333333,0.6357301761670616,0.6353841847962809,0.00034599137078066277,-0.002314133546948649,0.012598899235471207,-0.005634196501526244,0.0068141317159850666,0.4666666666666667,2.0443074550262863,2.1029582898148393,3.4199810768931918,3.034727760441584,2.7066608364100864,2.2173632563241155,4.835551436105682,1,0.5277944753567377,0.5501837253570556,7.687991578330613,6.116405299450528,5.948144762645392,4.845292573460138,10.87524588538261,1
morse · mlp · distill to simple,0.0,15,0.5775220993777307,0.5775220993777307,0.0,0.0,0.0,0.0,0.0,0,0.555065177145965,0.555065177145965,0.0,0.0,0.0,0.0,0.0,0,0.5349596091087062,0.5349596091087062,0.0,0.0,0.0,0.0,0.0,0,2.1035782765964717,2.1035782765964717,0.0,0.0,0.0,0.0,0.0,0,0.2018444647391637,0.2018444647391637,0.0,0.0,0.0,0.0,0.0,0
morse · mlp · distill to simple,0.1,15,0.5775220993777307,0.5776613403223194,-0.0001392409445887403,0.0003938983469968793,0.0028889809629400087,-0.0014693968181175088,0.0012653318012448985,0.5333333333333333,0.555065177145965,0.5542580600131987,0.0008071171327663922,0.00032250846186321347,0.002918948243427837,-0.00044011075460822775,0.0023944148660728823,0.6666666666666666,0.5349596091087062,0.536000672257572,-0.0010410631488657618,-0.00047962939554080375,0.0032267357992805125,-0.0026443495561189,0.0005272344744019411,0.3333333333333333,2.1035782765964717,2.105091996096,-0.03272421961156501,0.04210720312766786,0.41585471423368914,-0.2323852524438006,0.17069565579601728,0.5333333333333333,0.2018444647391637,0.20257712205251058,0.5787040488784407,0.389409374205171,1.378753082621712,-0.08824179631444158,1.2448304206402576,0.6
morse · mlp · distill to simple,0.25,15,0.5775220993777307,0.574328005608222,0.0031940937695086992,0.004504161194436529,0.007646406876787104,-0.0004267400577857827,0.007043015859692267,0.6,0.555065177145965,0.5492599778492562,0.005805199296708863,0.0044504558241735825,0.00933778689340968,0.001678160617277324,0.010783729154542667,0.8666666666666667,0.5349596091087062,0.5397447584416165,-0.004785149332910336,-0.002946303147955298,0.008734043556635703,-0.00909198817421576,-0.0003751751276782864,0.26666666666666666,2.1035782765964717,2.1146444070961743,0.561336648533897,0.38862254005794356,1.2563104438592643,-0.02425557400364535,1.1958876737340032,0.6,0.2018444647391637,0.20749998341004053,4.297481630915981,4.233645534657967,5.373180450393795,1.827257854228596,7.005679123023554,0.8
