label,basin,period,training_noise,seed,inference_noise_seed,baseline_noise,inference_noise,clean_test_nse,noisy_test_nse,drift_test_nse,clean_validation_nse,noisy_validation_nse,drift_validation_nse,clean_test_kge,noisy_test_kge,drift_test_kge,clean_test_rmse_mm_day,noisy_test_rmse_mm_day,drift_test_rmse_mm_day,clean_physics_error,noisy_physics_error,drift_physics_error
learned · pinnmamba · joint baseline,4009,late,0.0,42,300049,0.0,0.0,0.5330175460644027,0.5330175460644027,0.0,0.6440158409693006,0.6440158409693006,0.0,0.7655091946104859,0.7655091946104859,0.0,0.23339653429801133,0.23339653429801133,0.0,2.124178171157837,2.124178171157837,0.0
learned · pinnmamba · joint baseline,4009,late,0.0,42,300049,0.0,0.1,0.5330175460644027,0.5306259505053028,0.002391595559099846,0.6440158409693006,0.6528028998539845,-0.008787058884683896,0.7655091946104859,0.7628870459677679,0.0026221486427180363,0.23339653429801133,0.23399342745562024,0.25574208263382897,2.124178171157837,2.110226631164551,-0.6567970701667409
learned · pinnmamba · joint baseline,4009,late,0.0,42,300049,0.0,0.25,0.5330175460644027,0.4794157992286875,0.05360174683571517,0.6440158409693006,0.6518038139612576,-0.007787972991956993,0.7655091946104859,0.7355403758471584,0.029968818763327576,0.23339653429801133,0.24642775082603968,5.583294785084299,2.124178171157837,2.103710174560547,-0.9635724947749295
learned · pinnmamba · joint baseline,4008,late,0.0,42,300049,0.0,0.0,0.18531393170613097,0.18531393170613097,0.0,0.6831031226864045,0.6831031226864045,0.0,0.5284729353083215,0.5284729353083215,0.0,0.31883908739737354,0.31883908739737354,0.0,1.8489298820495605,1.8489298820495605,0.0
learned · pinnmamba · joint baseline,4008,late,0.0,42,300049,0.0,0.1,0.18531393170613097,0.19123651767410055,-0.005922585967969574,0.6831031226864045,0.6825737973515821,0.000529325334822417,0.5284729353083215,0.5280315339820116,0.00044140132630987594,0.31883908739737354,0.3176780288714155,-0.3641518784398615,1.8489298820495605,1.8751111030578613,1.4160202213443913
learned · pinnmamba · joint baseline,4008,late,0.0,42,300049,0.0,0.25,0.18531393170613097,0.13092822429067608,0.0543857074154549,0.6831031226864045,0.6743176992047888,0.008785423481615706,0.5284729353083215,0.49669541805401174,0.03177751725430977,0.31883908739737354,0.3293094817831263,3.283911791123452,1.8489298820495605,1.9388329982757568,4.8624405446104655
learned · pinnmamba · joint baseline,2488,late,0.0,42,300049,0.0,0.0,0.3559641550488116,0.3559641550488116,0.0,0.4503920161846485,0.4503920161846485,0.0,0.5661008714299433,0.5661008714299433,0.0,0.842190410666811,0.842190410666811,0.0,0.36082157492637634,0.36082157492637634,0.0
learned · pinnmamba · joint baseline,2488,late,0.0,42,300049,0.0,0.1,0.3559641550488116,0.35300630080401085,0.0029578542448007727,0.4503920161846485,0.45065380844192293,-0.0002617922572744069,0.5661008714299433,0.5667458914611256,-0.0006450200311823862,0.842190410666811,0.8441221531831118,0.22937123147380903,0.36082157492637634,0.3664586842060089,1.5622982857338255
learned · pinnmamba · joint baseline,2488,late,0.0,42,300049,0.0,0.25,0.3559641550488116,0.3098001349044478,0.046164020144363827,0.4503920161846485,0.4487678736166485,0.001624142568000031,0.5661008714299433,0.5538400205305256,0.012260850899417641,0.842190410666811,0.8718518781778649,3.5219431538729125,0.36082157492637634,0.3941226005554199,9.2292224032996
learned · pinnmamba · joint baseline,2109,late,0.0,42,300049,0.0,0.0,0.8800699276398983,0.8800699276398983,0.0,0.8968265658549699,0.8968265658549699,0.0,0.8699362120594344,0.8699362120594344,0.0,1.2529787732190658,1.2529787732190658,0.0,0.17490588128566742,0.17490588128566742,0.0
learned · pinnmamba · joint baseline,2109,late,0.0,42,300049,0.0,0.1,0.8800699276398983,0.8753531517484756,0.00471677589142272,0.8968265658549699,0.8961113312509195,0.0007152346040504298,0.8699362120594344,0.8708351567477353,-0.0008989446883008734,1.2529787732190658,1.2773806015411846,1.9475053244060403,0.17490588128566742,0.1768384426832199,1.104915045364374
