label,inference_noise,n,clean_mean_test_nse,noisy_mean_test_nse,drift_mean_test_nse,drift_median_test_nse,drift_std_test_nse,drift_ci_low_test_nse,drift_ci_high_test_nse,fraction_positive_test_nse,clean_mean_validation_nse,noisy_mean_validation_nse,drift_mean_validation_nse,drift_median_validation_nse,drift_std_validation_nse,drift_ci_low_validation_nse,drift_ci_high_validation_nse,fraction_positive_validation_nse,clean_mean_test_kge,noisy_mean_test_kge,drift_mean_test_kge,drift_median_test_kge,drift_std_test_kge,drift_ci_low_test_kge,drift_ci_high_test_kge,fraction_positive_test_kge,clean_mean_test_rmse_mm_day,noisy_mean_test_rmse_mm_day,drift_mean_test_rmse_mm_day,drift_median_test_rmse_mm_day,drift_std_test_rmse_mm_day,drift_ci_low_test_rmse_mm_day,drift_ci_high_test_rmse_mm_day,fraction_positive_test_rmse_mm_day,clean_mean_physics_error,noisy_mean_physics_error,drift_mean_physics_error,drift_median_physics_error,drift_std_physics_error,drift_ci_low_physics_error,drift_ci_high_physics_error,fraction_positive_physics_error
learned · pinnmamba · joint baseline,0.0,15,0.30802967355074196,0.30802967355074196,0.0,0.0,0.0,0.0,0.0,0,0.504483392571214,0.504483392571214,0.0,0.0,0.0,0.0,0.0,0,0.48245161549990717,0.48245161549990717,0.0,0.0,0.0,0.0,0.0,0,2.561720025054081,2.561720025054081,0.0,0.0,0.0,0.0,0.0,0,1.0222282896439234,1.0222282896439234,0.0,0.0,0.0,0.0,0.0,0
learned · pinnmamba · joint baseline,0.1,15,0.30802967355074196,0.3042678435934353,0.0037618299573066653,0.002552940545019311,0.0071648437038181025,0.0005066471809156987,0.007361363811869048,0.7333333333333333,0.504483392571214,0.5029981834141738,0.0014852091570402236,0.0025798995503061306,0.011186453420365035,-0.003985598955349304,0.00697012852442483,0.6666666666666666,0.48245161549990717,0.4812844821780142,0.0011671333218929547,0.00038286821890076705,0.005301785959857226,-0.0010287085550413936,0.0040025682259833845,0.5333333333333333,2.561720025054081,2.5714617584041077,0.46367304870180354,0.2800305087219982,0.6787861277792937,0.15002796272555036,0.8108520867836735,0.7333333333333333,1.0222282896439234,1.0267414063215257,0.8011871817477185,1.104915045364374,2.10345049741715,-0.21547899089688055,1.8740473370133999,0.6
learned · pinnmamba · joint baseline,0.25,15,0.30802967355074196,0.27421330966320306,0.033816363887538885,0.03577849729200899,0.024629145043245603,0.021858982877546427,0.04550383031019325,0.8666666666666667,0.504483392571214,0.4716628649207922,0.0328205276504218,0.016728900239384337,0.036566273533626646,0.01602630513888019,0.050978551575214574,0.8666666666666667,0.48245161549990717,0.4711606109917873,0.01129100450811984,0.012260850899417641,0.012737935901772138,0.005178545931276825,0.017391130264994982,0.8,2.561720025054081,2.632153816991371,4.0212276175188855,3.637868429667514,2.707855808412352,2.693287193852249,5.308347270766011,0.8666666666666667,1.0222282896439234,1.0431849499543508,6.67003710371437,4.8624405446104655,6.3226898973790435,3.714220558891203,9.832404864109174,0.7333333333333333
morse · pinnmamba · distill to simple,0.0,15,0.529489289286191,0.529489289286191,0.0,0.0,0.0,0.0,0.0,0,0.5608609258984062,0.5608609258984062,0.0,0.0,0.0,0.0,0.0,0,0.5332921199367793,0.5332921199367793,0.0,0.0,0.0,0.0,0.0,0,2.2571550319967457,2.2571550319967457,0.0,0.0,0.0,0.0,0.0,0,0.2955566838383675,0.2955566838383675,0.0,0.0,0.0,0.0,0.0,0
morse · pinnmamba · distill to simple,0.1,15,0.529489289286191,0.5297545699425583,-0.000265280656367343,-0.0005224025132114507,0.015407933187408353,-0.008410216063557213,0.0066774586323773266,0.4666666666666667,0.5608609258984062,0.5588972945803329,0.001963631318073237,0.0007157008603574377,0.006952877296457038,-0.0009573927324594335,0.005727575978577534,0.5333333333333333,0.5332921199367793,0.5336673281688318,-0.0003752082320524449,-0.0008160099161115264,0.006096633539602448,-0.003081120956506705,0.002885149904436011,0.4666666666666667,2.2571550319967457,2.256206838207659,-0.186301563770269,-0.08132604073309505,1.9777944688936935,-1.178606283306913,0.7312266922531641,0.4666666666666667,0.2955566838383675,0.2938640375932058,0.4075927363616755,0.5776575237921748,3.6601035292802826,-1.3162422809314558,2.1769562168570316,0.6
morse · pinnmamba · distill to simple,0.25,15,0.529489289286191,0.517068582872068,0.012420706414122903,0.003801875232066876,0.03532665768647109,-0.004519165107298753,0.03036856994057411,0.7333333333333333,0.5608609258984062,0.5473021341050323,0.013558791793373891,0.006701190950547442,0.019510130953322706,0.004628970879310911,0.02318444733565866,0.8666666666666667,0.5332921199367793,0.5308781954236318,0.00241392451314751,0.00033408362179510043,0.014708590344412475,-0.0044055140324552895,0.009924308755462984,0.5333333333333333,2.2571550319967457,2.2784536565080016,1.5813976758670891,1.4075327969646136,4.378355559139507,-0.48369775086199945,3.7944685511711924,0.7333333333333333,0.2955566838383675,0.30109062989552815,7.695289122013095,4.9256524164438105,11.13389276172123,2.521336362759069,13.245692765821826,0.7333333333333333
