country,basin,model,seed,threshold_quantile,threshold_mm_day,test_days,observed_extreme_days,observed_events,predicted_events,precision,recall,critical_success_index,false_alarm_ratio,average_precision,event_precision,event_recall,rmse_mm_day,extreme_rmse_mm_day,peak_magnitude_mae_mm_day,peak_timing_mae_days
Switzerland,2011,persistence,-1,0.95,6.525400161743164,1529,80,14,14,0.825,0.825,0.7021276595744681,0.175,0.8721360581176775,0.6428571428571429,0.6428571428571429,0.5356619853753936,1.4102370794874324,0.011666668785942925,0.8888888888888888
Switzerland,2011,seasonal_climatology,-1,0.95,6.525400161743164,1529,80,14,4,0.5,0.025,0.024390243902439025,0.5,0.3886461411176544,0.5,0.14285714285714285,0.9376499541765909,2.6160824651893617,2.9385766983032227,9.0
Switzerland,2011,mlp,0,0.95,6.525400161743164,1529,80,14,12,0.8833333333333333,0.6625,0.6091954022988506,0.11666666666666667,0.9003387315861286,0.75,0.5,0.5586174999471707,1.0904914598511217,0.48484672818865093,3.2857142857142856
Switzerland,2011,mlp,1,0.95,6.525400161743164,1529,80,14,15,0.890625,0.7125,0.6551724137931034,0.109375,0.8992949321031577,0.7333333333333333,0.6428571428571429,0.4873489334222771,1.104690197039086,0.5656652980380588,2.888888888888889
Switzerland,2011,mlp,2,0.95,6.525400161743164,1529,80,14,18,0.7951807228915663,0.825,0.6804123711340206,0.20481927710843373,0.8935368872388914,0.5555555555555556,0.7142857142857143,0.49498364230564945,1.0701736929498893,0.3806941986083984,2.5
Switzerland,2011,pinnmamba,0,0.95,6.525400161743164,1529,80,14,17,0.9024390243902439,0.4625,0.44047619047619047,0.0975609756097561,0.820975579652527,0.7647058823529411,0.5714285714285714,0.5946049380106753,1.2206637581363764,0.8749961256980896,3.125
Switzerland,2011,pinnmamba,1,0.95,6.525400161743164,1529,80,14,27,0.6947368421052632,0.825,0.6055045871559633,0.30526315789473685,0.7915151041584602,0.48148148148148145,0.7857142857142857,0.7297815611820975,1.27611920931819,1.2549724578857422,2.4545454545454546
Switzerland,2011,pinnmamba,2,0.95,6.525400161743164,1529,80,14,31,0.4476744186046512,0.9625,0.44,0.5523255813953488,0.8544277986033597,0.3225806451612903,0.9285714285714286,0.8103070804479802,1.4437915188407526,1.0973798311673677,0.6923076923076923
