country,basin,approach,routing,inference_routing,simple_expert,complex_expert,seed,threshold_quantile,threshold_mm_day,test_days,observed_extreme_days,observed_events,predicted_events,precision,recall,critical_success_index,false_alarm_ratio,average_precision,event_precision,event_recall,nse,kge,rmse_mm_day,extreme_rmse_mm_day,peak_magnitude_mae_mm_day,peak_timing_mae_days,mean_complex_weight,parameters,training_seconds,simple_training_fraction
Switzerland,2011,persistence,none,none,none,none,-1,0.95,6.525400161743164,1529,80,14,14,0.825,0.825,0.7021276595744681,0.175,0.8721360581176775,0.6428571428571429,0.6428571428571429,0.9292292273395734,0.9646112471883328,0.5356619853753936,1.4102370794874324,0.011666668785942925,0.8888888888888888,nan,0,0.0,nan
Switzerland,2011,seasonal_climatology,none,none,none,none,-1,0.95,6.525400161743164,1529,80,14,4,0.5,0.025,0.024390243902439025,0.5,0.3886461411176543,0.5,0.14285714285714285,0.7831528306723232,0.8112655870052737,0.9376499541765909,2.6160824651893617,2.9385766983032227,9.0,nan,0,0.0,nan
Switzerland,2011,soft_routing,morse,soft,rbf,pinnmamba,1,0.95,6.525400161743164,1529,80,14,10,0.8181818181818182,0.45,0.4090909090909091,0.18181818181818182,0.6360367117873207,0.8,0.35714285714285715,0.6997451282650778,0.6783547830923637,1.1033387963740902,2.713035134273936,1.1106223106384276,3.0,0.26619479060173035,17926,17.35178655299933,nan
Switzerland,2011,hard_routing,morse,soft,rbf,pinnmamba,1,0.95,6.525400161743164,1529,80,14,11,0.8076923076923077,0.2625,0.24705882352941178,0.19230769230769232,0.5873352318462834,0.6363636363636364,0.2857142857142857,0.704119696805706,0.6021268520499087,1.095271748486999,2.903086909734003,1.4180927276611328,0.0,0.26619479060173035,17926,16.966226599999572,nan
Switzerland,2011,distillation,morse,soft,rbf,pinnmamba,1,0.95,6.525400161743164,1529,80,14,11,0.84,0.525,0.4772727272727273,0.16,0.6348989266546574,0.5454545454545454,0.42857142857142855,0.7861225105059019,0.7563425707711486,0.9312073536642899,2.280221638966227,1.03152863184611,0.5,0.26619479060173035,17926,31.737009053000293,0.799956369982548
